benchmark,instance,result,time,comment
Benchmarks/Basic/Static semantics correctness: Assignment 1,user,proved,226,timeout=60000 | QE=130 | RCF=0 | proof_steps=38 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 2,user,proved,314,timeout=60000 | QE=144 | RCF=0 | proof_steps=114 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 3,user,proved,551,timeout=60000 | QE=94 | RCF=0 | proof_steps=154 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 4,user,proved,805,timeout=60000 | QE=186 | RCF=0 | proof_steps=576 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 5,user,proved,123,timeout=60000 | QE=0 | RCF=0 | proof_steps=33 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 6,user,proved,1535,timeout=60000 | QE=1407 | RCF=0 | proof_steps=134 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 7,user,proved,878,timeout=60000 | QE=210 | RCF=0 | proof_steps=753 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 8,user,proved,1396,timeout=60000 | QE=288 | RCF=0 | proof_steps=925 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 9,user,proved,1382,timeout=60000 | QE=270 | RCF=0 | proof_steps=492 | tactic_size=1
Benchmarks/Basic/Dynamics: Cascaded,user,proved,1506,timeout=60000 | QE=575 | RCF=0 | proof_steps=1356 | tactic_size=1
Benchmarks/Basic/Dynamics: Single integrator time,user,proved,565,timeout=60000 | QE=210 | RCF=0 | proof_steps=164 | tactic_size=1
Benchmarks/Basic/Dynamics: Single integrator,user,proved,567,timeout=60000 | QE=176 | RCF=0 | proof_steps=152 | tactic_size=1
Benchmarks/Basic/Dynamics: Double integrator,user,proved,1510,timeout=60000 | QE=490 | RCF=0 | proof_steps=1330 | tactic_size=1
Benchmarks/Basic/Dynamics: Triple integrator,user,proved,1712,timeout=60000 | QE=636 | RCF=0 | proof_steps=878 | tactic_size=1
Benchmarks/Basic/Dynamics: Exponential decay (1),user,proved,716,timeout=60000 | QE=279 | RCF=0 | proof_steps=144 | tactic_size=1
Benchmarks/Basic/Dynamics: Exponential decay (2),user,proved,714,timeout=60000 | QE=271 | RCF=0 | proof_steps=144 | tactic_size=1
Benchmarks/Basic/Dynamics: Exponential decay (3),user,proved,715,timeout=60000 | QE=277 | RCF=0 | proof_steps=199 | tactic_size=1
Benchmarks/Basic/Dynamics: Exponential growth (1),user,proved,608,timeout=60000 | QE=206 | RCF=0 | proof_steps=194 | tactic_size=1
Benchmarks/Basic/Dynamics: Exponential growth (2),user,proved,1054,timeout=60000 | QE=331 | RCF=0 | proof_steps=389 | tactic_size=1
Benchmarks/Basic/Dynamics: Exponential growth (4),user,proved,839,timeout=60000 | QE=449 | RCF=0 | proof_steps=165 | tactic_size=1
Benchmarks/Basic/Dynamics: Exponential growth (5),user,proved,808,timeout=60000 | QE=317 | RCF=0 | proof_steps=333 | tactic_size=1
Benchmarks/Basic/Dynamics: Rotational dynamics (1),user,proved,739,timeout=60000 | QE=270 | RCF=0 | proof_steps=417 | tactic_size=1
Benchmarks/Basic/Dynamics: Rotational dynamics (2),user,proved,2565,timeout=60000 | QE=723 | RCF=0 | proof_steps=2075 | tactic_size=1
Benchmarks/Basic/Dynamics: Rotational dynamics (3),user,proved,1342,timeout=60000 | QE=559 | RCF=0 | proof_steps=1345 | tactic_size=1
Benchmarks/Basic/Dynamics: Spiral to equilibrium,user,proved,966,timeout=60000 | QE=382 | RCF=0 | proof_steps=514 | tactic_size=1
Benchmarks/Basic/Dynamics: Open cases,user,proved,1176,timeout=60000 | QE=536 | RCF=0 | proof_steps=480 | tactic_size=1
Benchmarks/Basic/Dynamics: Closed cases,user,proved,718,timeout=60000 | QE=276 | RCF=0 | proof_steps=426 | tactic_size=1
Benchmarks/Basic/Dynamics: Conserved quantity,user,proved,970,timeout=60000 | QE=376 | RCF=0 | proof_steps=513 | tactic_size=1
Benchmarks/Basic/Dynamics: Darboux equality,user,proved,794,timeout=60000 | QE=308 | RCF=0 | proof_steps=506 | tactic_size=1
Benchmarks/Basic/Dynamics: Fractional Darboux equality,user,failed,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/Dynamics: Darboux inequality,user,failed,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/Dynamics: Bifurcation,user,failed,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
