Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 1,user,proved,60000,64,33,0,38,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 2,user,proved,60000,155,83,0,114,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 3,user,proved,60000,188,72,0,154,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 4,user,proved,60000,735,107,0,576,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 5,user,proved,60000,72,0,0,33,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 6,user,proved,60000,149,99,0,134,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 7,user,proved,60000,979,243,0,944,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 8,user,proved,60000,1431,420,0,925,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 9,user,proved,60000,965,259,0,490,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Cascaded,user,proved,60000,1839,612,0,1656,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Single integrator time,user,proved,60000,674,151,0,164,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Single integrator,user,proved,60000,643,89,0,152,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Double integrator,user,proved,60000,4387,1639,0,1325,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Triple integrator,user,failed,60000,-1,-1,-1,-1,-1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Exponential decay (1),user,proved,60000,893,284,0,318,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Exponential decay (2),user,proved,60000,930,289,0,318,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Exponential decay (3),user,proved,60000,989,316,0,377,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Exponential growth (1),user,proved,60000,659,137,0,307,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Exponential growth (2),user,proved,60000,986,287,0,523,1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Exponential growth (4),user,proved,60000,1203,390,0,813,1
