Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 1,Scripted proof,proved,60000,184,132,0,38,3
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 2,Scripted proof,proved,60000,231,143,0,75,5
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 3,Scripted proof,proved,60000,312,161,0,154,7
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 4,Scripted proof,proved,60000,711,264,0,413,3
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 5,Scripted proof,proved,60000,72,0,0,28,7
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 6,Scripted proof,proved,60000,261,173,0,140,19
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 7,Scripted proof,proved,60000,963,399,0,765,15
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 8,Scripted proof,proved,60000,930,344,0,794,15
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Static semantics correctness: Assignment 9,Scripted proof,proved,60000,835,276,0,456,13
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Cascaded,Scripted proof,proved,60000,11231,932,0,1511,8
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Single integrator time,Scripted proof,proved,60000,598,193,0,164,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Single integrator,Scripted proof,proved,60000,607,162,0,152,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Double integrator,Scripted proof,proved,60000,1366,445,0,1332,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Triple integrator,Scripted proof,proved,60000,1629,553,0,1069,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Exponential decay (1),Scripted proof,proved,60000,674,235,0,144,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Exponential decay (2),Scripted proof,proved,60000,722,248,0,144,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Exponential decay (3),Scripted proof,proved,60000,768,305,0,199,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Exponential growth (1),Scripted proof,proved,60000,574,182,0,194,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Exponential growth (2),Scripted proof,proved,60000,1088,280,0,526,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Exponential growth (4),Scripted proof,proved,60000,6325,473,0,165,3
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Exponential growth (5),Scripted proof,proved,60000,855,319,0,333,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Rotational dynamics (1),Scripted proof,proved,60000,1099,597,0,796,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
